shakespeare,modern
"The Mayor and all his brethren in best sort , Like to the senators of th ' antique Rome , With the plebeians swarming at their heels , Go forth and fetch their conquering Caesar in , As , by a lower but loving likelihood ,",Picture the mayor and all his brother citizens dressed in their best as they go forth like senators of ancient Rome to welcome home their conquering Caesar .
"Then brook abridgment , and your eyes advance After your thoughts , straight back again to France .",Skip over all the particularities between then and Harry's return to France .
Saint Davy's day is past .,Saint Davy's Day has passed .
There is occasions and causes why and wherefore in all things .,There are reasons and causes why and how in everything .
"It was in place where I could not breed no contention with him , but I will be so bold as to wear it in my cap till I see him once again , and then I will tell him a little piece of my desires .","We were somewhere where I couldn't pick a fight with him , but I've decided to wear it in my cap until I see him again , whereupon I'll give him a little piece of my mind ."
"Why , here he comes , swelling like a turkey-cock .","And here he comes , puffing himself up like a turkey ."
"Ha , art thou bedlam ?",Are you mad ?
Hence .,Away !
I am qualmish at the smell of leek .,The smell of leek turns my stomach .
"I peseech you heartily , scurvy , lousy knave , at my desires , and my requests , and my petitions , to eat , look you , this leek .","I wonder if you'd be so good , you lousy , rotten villain , to grant my wish and my request and gratify me , see , by eating this leek ."
"Because , look you , you do not love it , nor your affections and your appetites and your digestions does not agree with it , I would desire you to eat it .","I'd like you to , see , because you don't like it , and because it isn't to your taste , and because it doesn't agree with you ."
Not for Cadwallader and all his goats .,Not for Cadwallader and all his goats .
There is one goat for you .,Here's a goat for you .
"Base Trojan , thou shalt die .","Dissolute lowlife , you shall die ."
"You say very true , scald knave , when God's will is .","That's very true , mangy rascal , when it pleases God ."
I will desire you to live in the meantime and eat your victuals .,"Meanwhile , I'd be gratified if you'd live and eat your food ."
"Come , there is sauce for it .","Come , here's some sauce to go with it ."
"Enough , Captain .","Enough , Captain ."
You have astonished him .,You've stunned him .
"I say I will make him eat some part of my leek , or I will peat his pate four days. , Bite , I pray you .","I tell you , I'll either make him eat some part of this leek or give him a four-day head-bashing. , Go on , bite ."
It is good for your green wound and your ploody coxcomb .,It's good for your fresh wound and your bloody noggin .
Must I bite ?,Must I bite ?
"Yes , certainly , and out of doubt and out of question , too , and ambiguities .","Yes , absolutely , no question or ambiguity about it ."
"By this leek , I will most horribly revenge .","By this leek , I swear I'll make you pay for this ."
Will you have some more sauce to your leek ?,Would you like some more sauce to go with it ?
There is not enough leek to swear by .,There isn't enough leek left for you to swear on .
Quiet thy cudgel .,"Lay off , already !"
Thou dost see I eat .,Can't you see I'm eating ?
"Much good do you , scald knave , heartily .","I sincerely hope it does you good , mangy rascal ."
"Nay , pray you throw none away .","No , don't throw any of it away ."
The skin is good for your broken coxcomb .,The skin is good for your cracked head .
"When you take occasions to see leeks hereafter , I pray you , mock at 'em , that is all .","When you see leeks in the future , I hope you keep mocking them ."
Good .,Good .
"Ay , leeks is good .","Yes , leeks are good ."
"Hold you , there is a groat to heal your pate .","Wait , here's a penny to heal your head ."
"Me , a groat ?","Me , a penny ?"
"If I owe you anything , I will pay you in cudgels .","If I owe you anything , I'll pay you in clubbings ."
You shall be a woodmonger and buy nothing of me but cudgels .,You'll become a wood salesman and buy nothing but clubs from me .
God be wi ' you and keep you and heal your pate .,"God be with you and keep you , and may he heal your head ."
All hell shall stir for this .,There'll be hell to pay for this .
"Go , go .","Go on , get out of here ."
You are a counterfeit cowardly knave .,"You're a lying , cowardly wretch ."
"Will you mock at an ancient tradition begun upon an honorable respect and worn as a memorable trophy of predeceased valor , and dare not avouch in your deeds any of your words ?","You mock an ancient tradition , born of reverence and worn in honor of brave men who have died , and then have the gall not to stand by your words ."
I have seen you gleeking and galling at this gentleman twice or thrice .,I've seen you bait and mock this man more than once .
"You thought because he could not speak English in the native garb , he could not therefore handle an English cudgel .",You thought because he didn't speak English like a native he couldn't handle an English club .
Fare you well .,Farewell .
Doth Fortune play the huswife with me now ?,"Has Fortune turned on me , like the whore she is ?"
"News have I that my Nell is dead i ' th ' spital Of a malady of France , And there my rendezvous is quite cut off .",I've had news that my Nell died of the pox in a hospice .
"Old I do wax , and from my weary limbs Honor is cudgeled .","I grow old , and all dignity has been thrashed out of me ."
"Well , bawd I'll turn , And something lean to cutpurse of quick hand .","Well , I'll turn pimp and do some occasional pickpocketing ."
"To England will I steal , and there I'll steal .","I'll steal away to England , and I'll steal some more when I get there ."
"And patches will I get unto these cudgeled scars , And swear I got them in the Gallia wars .",I'll bandage up these wounds and swear I got them in the French wars .
"But there's a saying very old and true : ""If that you will France win , Then with Scotland first begin."" For once the eagle England being in prey , To her unguarded nest the weasel Scot Comes sneaking and so sucks her princely eggs , Playing the mouse in absence of the cat , To 'tame and havoc more than she can eat .","But here's an old , true saying : ""If you want to win France , start with Scotland."" For when the eagle England leaves her nest to seek prey , the weasel Scot always comes sneaking around to suck dry her princely eggs and , like the mouse when the cat's away , destroy more than she can actually eat ."
"It follows , then , the cat must stay at home .",It would follow from this that the cat should stay home .
"Yet that is but a crushed necessity , Since we have locks to safeguard necessaries And pretty traps to catch the petty thieves .","But that is a false conclusion , since we have locks to keep our valuables safe and clever traps to catch little thieves ."
"While that the armed hand doth fight abroad , Th ' advised head defends itself at home .","While the armed hand fights in foreign lands , the wise head defends itself at home ."
"Right joyous are we to behold your face , Most worthy brother England .","We rejoice to see you , most worthy brother of England ."
"So are you , princes English , every one .","You are welcome here , as are all of you English princes ."
"The venom of such looks , we fairly hope , Have lost their quality , and that this day Shall change all griefs and quarrels into love .",We hope your poison has worn off and this day shall transform all grievances and quarrels into friendship .
"To cry ""Amen"" to that , thus we appear .","We're here to say ""amen"" to that ."
"You English princes all , I do salute you .","All you English princes , I salute you ."
"My duty to you both , on equal love , Great kings of France and England .","Great kings of France and England , I owe you both equal service and loyalty ."
"That I have labored With all my wits , my pains , and strong endeavors , To bring your most imperial Majesties Unto this bar and royal interview , Your mightiness on both parts best can witness .","Your Highnesses can both attest to the fact that I've strived mightily , with all my wits and energy , to bring about this royal meeting between you two imperial Majesties ."
"Alas , she hath from France too long been chased , And all her husbandry doth lie on heaps , Corrupting in its own fertility .","Alas , she has been too long exiled from France , whose crops all lie in heaps , rotting with ripeness ."
"Her vine , the merry cheerer of the heart , Unpruned , dies .","Her grapes , which make the wine that cheers our hearts , die unpruned on the vines ."
"Her hedges , even-pleached , Like prisoners wildly overgrown with hair , Put forth disordered twigs .","Her once-trimmed hedges , like prisoners with wild , untended hair , put forth unruly twigs ."
"Her fallow leas The darnel , hemlock , and rank fumitory Doth root upon , while that the coulter rusts That should deracinate such savagery .","Her fallow fields are overgrown with weeds , while the blade that should uproot such wilderness lies rusting ."
"The even mead , that erst brought sweetly forth The freckled cowslip , burnet , and green clover , Wanting the scythe , withal uncorrected , rank , Conceives by idleness , and nothing teems But hateful docks , rough thistles , kecksies , burrs , Losing both beauty and utility .","The level meadow , where the freckled cowslip , burnet , and green clover once grew , has become useless : unmowed , it grows to seed , so that nothing springs up but weeds , rough thistles , barren plants , and burs ."
"And as our vineyards , fallows , meads , and hedges , Defective in their natures , grow to wildness , Even so our houses and ourselves and children Have lost , or do not learn for want of time , The sciences that should become our country , But grow like savages , as soldiers will","children have lost , or no longer have time to learn , skills that should be a credit to our country ."
"That nothing do but meditate on blood , To swearing and stern looks , diffused attire , And everything that seems unnatural .","They grow like savages , like soldiers who meditate on nothing but blood , surrounded by swearing and stern looks , ragged clothing and everything unnatural ."
"If , Duke of Burgundy , you would the peace , Whose want gives growth to th ' imperfections Which you have cited , you must buy that peace With full accord to all our just demands , Whose tenors and particular effects You have , enscheduled briefly , in your hands .","Duke of Burgundy , if you want peace , the lack of which creates these misfortunes you describe , you must purchase it buy agreeing across-the-board to all our very just demands ."
"The king hath heard them , to the which as yet There is no answer made .","The king has heard them , but as yet has made no answer ."
"Well then , the peace which you before so urged Lies in his answer .","Well , the peace you pleaded for so eloquently just now lies in his answer ."
I have but with a cursitory eye O'erglanced the articles .,I've only given the articles a cursory glance .
"Pleaseth your Grace To appoint some of your council presently To sit with us once more with better heed To resurvey them , we will suddenly Pass our accept and peremptory answer .","If your Grace would kindly appoint some members of your council to sit with me once more and go over them more carefully , I will give my answer and acceptance right away ."
"And we'll consign thereto. , Will you , fair sister , Go with the princes or stay here with us ?","Fair sister , will you go with the princes or stay here with me ?"
"Our gracious brother , I will go with them .","Gracious brother , I will go with them ."
"Haply a woman's voice may do some good , When articles too nicely urged be stood on .",Perhaps a woman's voice may do some good when some small detail proves to be holding things up .
Yet leave our cousin Katherine here with us .,"In that case , leave our cousin Katherine here with us ."
"She is our capital demand , comprised Within the forerank of our articles .","She is our principal demand , one of the first points of the treaty ."
She hath good leave .,She is welcome to stay .
"Fair Katherine , and most fair , Will you vouchsafe to teach a soldier terms Such as will enter at a lady's ear And plead his love suit to her gentle heart ?","Lovely , most lovely Katherine , will you agree to teach a soldier the words that would recommend his love-suit to a gentle heart like yours ?"
Your Majesty shall mock at me .,Your Majesty shall mock at me .
I can not speak your England .,I can not speak your England .
"O fair Katherine , if you will love me soundly with your French heart , I will be glad to hear you confess it brokenly with your English tongue .","Lovely Katherine , if you will love me well with your French heart , I'm happy to hear you confess it in broken English ."
"Do you like me , Kate ?","Do you like me , Kate ?"
"An angel is like you , Kate , and you are like an angel .","Pardon me but I do not know what is ""like me."" An angel is like you , Kate , and you are like an angel ."
"I said so , dear Katherine ; and I must not blush to affirm it .","I said so , dear Katherine , and I'm not ashamed to repeat it ."
"The princess is the better Englishwoman. , I ' faith , Kate , my wooing is fit for thy understanding .","Kate , my wooing is fit for your understanding : I am glad your English isn't better ."
"I am glad thou canst speak no better English , for if thou couldst , thou wouldst find me such a plain king that thou wouldst think I had sold my farm to buy my crown .","If it were , you would find me such an ordinary king that you would think I'd sold my farm to buy my crown ."
"I know no ways to mince it in love , but directly to say , ""I love you."" Then if you urge me farther than to say , ""Do you , in faith ? "" I wear out my suit .","I don't know any fancy ways of talking about love , only to say right out , ""I love you."" If you press me any further than with the question , ""Do you really ? "" my love scene is over ."
"Give me your answer , i ' faith , do ; and so clap hands and a bargain .","So give me your answer , and we'll shake on it ."
"How say you , lady ?",Deal ?
"For the one , I have neither words nor measure ; and for the other , I have no strength in measure , yet a reasonable measure in strength .","I have no gift for the one and no strength for the other , though I have the gift of strength ."
"If I could win a lady at leapfrog or by vaulting into my saddle with my armor on my back , under the correction of bragging be it spoken , I should quickly leap into a wife .","If I could win a lady by playing leapfrog or vaulting into my saddle with my armor on my back , though you may accuse me of boasting , I could easily get myself a wife ."
"If thou canst love a fellow of this temper , Kate , whose face is not worth sunburning , that never looks in his glass for love of anything he sees there , let thine eye be thy cook .","If you can love a man of this temperament , Kate , whose face a sunburn wouldn't make any worse and who never looks in the mirror to admire himself , let your eye improve me ."
I speak to thee plain soldier .,I speak to you as a plain soldier .
"If thou canst love me for this , take me .","If you can love me for this , take me ."
"If not , to say to thee that I shall die is true , but for thy love , by the Lord , no .","If not , to tell you I will die is true , but not for love , by God ."
Yet I love thee too .,And yet I do love you .
"And while thou liv'st , dear Kate , take a fellow of plain and uncoined constancy , for he perforce must do thee right because he hath not the gift to woo in other places .",So take for life a fellow of pure and plain faithfulness .
"For these fellows of infinite tongue , that can rhyme themselves into ladies ' favors , they do always reason themselves out again .",These chatty fellows who can rhyme their way into a lady's good graces always reason themselves out again .
"If thou would have such a one , take me .","If you would have such a man , take me ."
And what say'st thou then to my love ?,So what do you say to my suit ?
"Speak , my fair , and fairly , I pray thee .","Speak , my fair one , and speak fairly , I beg you ."
Is it possible dat I sould love de enemy of France ?,Is it possible dat I sould love de enemy of France ?
"No , it is not possible you should love the enemy of France , Kate .","No , it is not possible you should love the enemy of France , Kate ."
"But , in loving me , you should love the friend of France , for I love France so well that I will not part with a village of it .","But in loving me , you would love the friend of France , for I love France so much that I will not part with a single village of it ."
I will have it all mine .,I will have it all mine .
"And , Kate , when France is mine and I am yours , then yours is France and you are mine .","And , Kate , when France is mine and I am yours , then France is yours and you are mine ."
I can not tell wat is dat .,I don't understand all dat .
"No , Kate ?","No , Kate ?"
"Can any of your neighbors tell , Kate ?","Can any of your neighbors tell , Kate ?"
I'll ask them .,I'll ask them .
"But , good Kate , mock me mercifully , the rather , gentle princess , because I love thee cruelly .","But mock me gently , dear Kate , because I love you terribly ."
Shall we not ?,Shall we not ?
"What say'st thou , my fair flower de luce ?","What do you say , my fair I do not know dat ."
I do not know dat .,"No , of course you don't ."
"No , 'tis hereafter to know , but now to promise .",Now there can only be the promise .
"Do but now promise , Kate , you will endeavor for your French part of such a boy ; and for my English moiety take the word of a king and a bachelor .","Do promise , Kate , that you'll do your French part to bring forth such a boy ; and for my English half , take the word of a king and a bachelor ."
"By mine honor , in true English , I love thee , Kate .","I tell you truly , in true English : I love you , Kate ."
"By which honor I dare not swear thou lovest me , yet my blood begins to flatter me that thou dost , notwithstanding the poor and untempering effect of my visage .","And though I wouldn't dare to swear that you love me , still my blood begins to flatter me that you do , despite the ill effects of my face ."
"Now , beshrew my father's ambition !",Curse my father's ambition !
"But , in faith , Kate , the elder I wax , the better I shall appear .","But I promise you , Kate : the older I grow the better I'll look ."
"My comfort is that old age , that ill layer-up of beauty , can do no more spoil upon my face .","My comfort is that old age , that poor preserver of beauty , can't make my face any worse than it already is ."
"Thou hast me , if thou hast me , at the worst , and thou shalt wear me , if thou wear me , better and better .","If you have me , you have me now at my worst ; and if you have me , you'll appreciate me better and better ."
"And therefore tell me , most fair Katherine , will you have me ?","Therefore tell me , fairest Katherine , will you have me ?"
"Put off your maiden blushes , avouch the thoughts of your heart with the looks of an empress , take me by the hand , and say ""Harry of England , I am thine , "" which word thou shalt no sooner bless mine ear withal , but I will tell","Take me by the hand and say , ""Harry of England , I am yours."" No sooner shall I hear that word than I will tell you straight out , ""England is yours , Ireland is yours , France is yours , and Harry Plantagenet"
"thee aloud ""England is thine , Ireland is thine , France is thine , and Harry Plantagenet is thine , "" who , though I speak it before his face , if he be not fellow with the best king , thou shalt find the best king of good fellows .","is yours."" And , though I say so in his presence , if he's not a friend of the best kings , you'll find him king of the best friends ."
"Come , your answer in broken music , for thy voice is music and thy English broken .","Come on , tell me in broken music , for your voice is music and your English broken ."
"Therefore , queen of all , Katherine , break thy mind to me in broken English .","Come , Katherine Queen of All , reveal your heart to me in broken English ."
Wilt thou have me ?,Will you have me ?
Den it sall also content me .,Den it shall also content me .
"Upon that I kiss your hand , and I call you my queen .",With that I kiss your hand and call you my queen .
"Then I will kiss your lips , Kate .","Then I will kiss your lips , Kate ."
"Madam my interpreter , what says she ?","What does she say , madam interpreter ?"
"Dat it is not be de fashion pour les ladies of France , I can not tell wat is To kiss .","Dat it not be de custom pour les ladies of France , I can not tell vat is To kiss ."
"Your It is not a fashion for the maids in France to kiss before they are married , would she say ?","It is not the custom for the maids in France to kiss before they are married , is that what she says ?"
"O Kate , nice customs curtsy to great kings .","Oh , Kate , prudish customs bow before great kings ."
"Dear Kate , you and I can not be confined within the weak list of a country's fashion .","You and I can not be held within the confines of a country's arbitrary customs , dear Kate ."
"We are the makers of manners , Kate , and the liberty that follows our places stops the mouth of all find- faults , as I will do yours for upholding the nice fashion of your country in denying me a kiss .","You and I , Kate , we are the makers of custom , and the freedom that goes with our position silences all who would criticize , as I will silence you for upholding the prudish custom of your country in refusing me a kiss ."
"Therefore , patiently and yielding .","Therefore , willingly and yielding ."
God save your Majesty .,God save your Majesty .
"My royal cousin , teach you our princess English ?","My royal kinsman , are you teaching our princess English ?"
"I would have her learn , my fair cousin , how perfectly I love her , and that is good English .","I wanted to teach her how perfectly I love her , kinsman , and that's good English ."
Is she not apt ?,"She picks it up quick , doesn't she ?"
"Our tongue is rough , coz , and my condition is not smooth , so that , having neither the voice nor the heart of flattery about me , I can not so conjure up the spirit of love in her that he will appear in his true likeness .","So , possessing neither a voice nor a heart for flattery , I can't awaken the spirit of love in her so as to make him appear in his true likeness ."
"I this infer : That many things , having full reference To one consent , may work contrariously , As many arrows loosed several ways Come to one mark , as many ways meet in one town , As many fresh streams meet in one salt sea , As many lines close in the dial's center , So may a thousand actions , once afoot , End in one purpose , and be all well borne Without defeat .","From this , I conclude that many different elements can work toward one common end , just as many arrows , shot from different points , converge on a single target ; just as many roads meet in a single town ; just as many fresh streams empty into only one salt sea ; just as the many radiuses of a"
Pardon the frankness of my mirth if I answer you for that .,Forgive my boldness if I take you up on your words about making magic .
"If you would conjure in her , you must make a circle ; if conjure up Love in her in his true likeness , he must appear naked and blind .","For love to appear in his true likeness , he would have to be as Cupid is : naked and blind ."
"Can you blame her then , being a maid yet rosed over with the virgin crimson of modesty , if she deny the appearance of a naked blind boy in her naked seeing self ?","How can you blame her , a tender young maiden still given to virgin blushes , for objecting to having a blind , naked boy appear before her ?"
"It were , my lord , a hard condition for a maid to consign to .",It's a lot to ask of a maiden .
"They are then excused , my lord , when they see not what they do .","They're forgiven , then , if they don't see what they're doing ."
"Then , good my lord , teach your cousin to consent winking .","Then teach your cousin to also be willing to close her eyes , my lord ."
This moral ties me over to time and a hot summer .,So you're telling me to give it time and wait for summer .
"And so I shall catch the fly , your cousin , in the latter end and she must be blind too .","And even then , in order for me to catch the fly your cousin , she must be blind ?"
"As love is , my lord , before it loves .","Like love , my lord , before it learns to love ."
It is so .,Fair enough .
Shall Kate be my wife ?,Shall Kate be my wife ?
So please you .,If you wish .
"I am content , so the maiden cities you talk of may wait on her .","I am satisfied , as long as the maiden cities you talk of come with her ."
So the maid that stood in the way for my wish shall show me the way to my will .,"That way , the maiden that stood between me and them shall be the means of my achieving my desire ."
We have consented to all terms of reason .,We have consented to all reasonable terms .
"Is 't so , my lords of England ?","Is that true , my lords of England ?"
"The king hath granted every article , His daughter first , and , in sequel , all , According to their firm proposed natures .","The king has agreed to every point : first his daughter , then everything else , as you strictly proposed ."
"Only he hath not yet subscribed this : Where your Majesty demands that the king of France , having any occasion to write for matter of grant , shall name your Highness in this form and with this addition , in French : Nor this I have not , brother , so denied But your request shall make me let it pass .","Except that he has not yet agreed to address you in this form and with this title , in French , And even this I'm willing to grant if you request it ."
"I pray you , then , in love and dear alliance , Let that one article rank with the rest , And thereupon give me your daughter .","In that case , I ask that for the sake of friendship and alliance you let that one item stand with the rest , and bestow your daughter on me ."
Amen .,Amen .
"Now welcome , Kate , and bear me witness all That here I kiss her as my sovereign queen .","Now , welcome , Kate. , And let everyone bear witness that here I kiss her as my sovereign queen ."
"God , the best maker of all marriages , Combine your hearts in one , your realms in one .","May God , who is the best matchmaker , join your hearts and realms in one ."
"God speak this ""amen"" !","God say , ""Amen"" !"
Amen .,Amen !
"Prepare we for our marriage ; on which day , My Lord of Burgundy , we'll take your oath , And all the peers ' , for surety of our leagues .","Let us prepare for our wedding. , On that day , I'll take your oath of loyalty , my Lord of Burgundy and all my peers , to guarantee my treaty ."
"Then shall I swear to Kate , and you to me , And may our oaths well kept and prosp'rous be .","Then I will swear to Kate and you to me , and may our oaths be faithfully kept and prove fortunate ."
"Thus far with rough and all-unable pen Our bending author hath pursued the story , In little room confining mighty men , Mangling by starts the full course of their glory .","Thus far has our straining author pursued the story with his crude , inadequate writing , keeping important people penned up in this little room while he mangled history's full glory with his uneven telling ."
"Henry the Sixth , in infant bands crowned king Of France and England , did this king succeed , Whose state so many had the managing That they lost France and made his England bleed , Which oft our stage hath shown .","Henry the Sixth , crowned king of France and England while still in his infancy , succeeded him ."
"And for their sake , In your fair minds let this acceptance take .","With those plays in mind , we hope you'll receive this one kindly ."
"If we , with thrice such powers left at home , Can not defend our own doors from the dog , Let us be worried , and our nation lose The name of hardiness and policy .","If we can not defend our country with three times such a power left at home , then we deserve to be harassed by an invader and lose our reputation as a powerful and politically savvy nation ."
Call in the messengers sent from the Dauphin .,Call in the messengers sent from the Dauphin .
"Now are we well prepared to know the pleasure Of our fair cousin Dauphin , for we hear Your greeting is from him , not from the king .","I'm ready now to hear what my good cousin the Dauphin has to say , for I hear that the greeting you bear is from him , not the king ."
"May 't please your Majesty to give us leave Freely to render what we have in charge , Or shall we sparingly show you far off The Dauphin's meaning and our embassy ?",Will your Majesty grant us permission to freely express the message we've been asked to convey ?
Piece out our imperfections with your thoughts .,Let your thoughts make up for our imperfections .
"Into a thousand parts divide one man , And make imaginary puissance .","Divide each man into a thousand , and there you will have an imaginary army ."
"Think , when we talk of horses , that you see them Printing their proud hoofs i ' th ' receiving earth , For 'tis your thoughts that now must deck our kings , Carry them here and there , jumping o'er times ,","Imagine , when we talk of horses , that you see them planting their proud hooves in the soft earth ."
"We are no tyrant , but a Christian king , Unto whose grace our passion is as subject As is our wretches fettered in our prisons .","I am no tyrant but a Christian king , whose emotions are as tightly controlled as the wretches who languish in our prisons ."
Therefore with frank and with uncurbed plainness Tell us the Dauphin's mind .,Therefore tell me the Dauphin's mind frankly and without constraint .
You can not revel into dukedoms there .,You can't party your way into dukedoms there .
"He therefore sends you , meeter for your spirit , This tun of treasure , and , in lieu of this , Desires you let the dukedoms that you claim Hear no more of you .","And in return for this gift , he wishes you to drop your claim to the dukedoms ."
This the Dauphin speaks .,This is the Dauphin's message .
"What treasure , uncle ?","What's the treasure , uncle ?"
"Tennis balls , my liege .","Tennis balls , my liege ."
We are glad the Dauphin is so pleasant with us .,I'm happy the Dauphin has such a good sense of humor .
His present and your pains we thank you for .,Thank you for his present and your trouble .
"When we have matched our rackets to these balls , We will in France , by God's grace , play a set Shall strike his father's crown into the hazard .","Once I've put my rackets to these balls , I'll play a set in France , God willing , that will knock his father's crown right out of the court ."
"And we understand him well , How he comes o'er us with our wilder days , Not measuring what use we made of them .",And I understand perfectly his sneering reference to my wilder days .
"We never valued this poor seat of England And therefore , living hence , did give ourself To barbarous license , as 'tis ever common That men are merriest when they are from home .",Men tend to be at their most irresponsible when they're away from home .
So get you hence in peace .,So go in peace .
And tell the Dauphin His jest will savor but of shallow wit When thousands weep more than did laugh at it .,And tell the Dauphin his joke will look pretty stupid when thousands more weep than ever laughed at it .
This was a merry message .,That was a humorous message .
We hope to make the sender blush at it .,I hope to make the sender blush for it .
"Therefore , my lords , omit no happy hour That may give furth'rance to our expedition ; For we have now no thought in us but France , Save those to God , that run before our business .","Now , lords , don't let slip any opportunity that might be advantageous for our expedition ."
"Therefore let every man now task his thought , That this fair action may on foot be brought .","Therefore , let every man give some thought to how this noble expedition may be undertaken ."
"Now all the youth of England are on fire , And silken dalliance in the wardrobe lies .",Now all the young men of England are inspired and have stored their party clothes in the closet .
"Ere he take ship for France , and in Southampton .","shifts , friends , to Southampton ."
"There is the playhouse now , there must you sit , And thence to France shall we convey you safe And bring you back , charming the narrow seas To give you gentle pass ; for , if we may , We'll not offend one stomach with our play .","From there we'll safely carry you to France and back , calming the waters of the Channel to provide you with a smooth voyage ."
"But , till the king come forth , and not till then , Unto Southampton do we shift our scene .",But we won't shift the scene to Southampton until Henry reappears .
"Well met , Corporal Nym .","Good to see you , Corporal Nym ."
"Good morrow , Lieutenant Bardolph .","Good day , Lieutenant Bardolph ."
"What , are Ancient Pistol and you friends yet ?","Tell me , are you and Ensign Pistol friends again yet ?"
"For my part , I care not .","For my part , I really don't care ."
I will bestow a breakfast to make you friends ; and we'll be all three sworn brothers to France .,Then we can all three be comrades on our way to France .
"Let 't be so , good Corporal Nym .","How about it , Corporal Nym ?"
That is my rest ; that is the rendezvous of it .,That's it .
I can not tell .,It's not for me to say .
Things must be as they may .,Things are what they are .
"Men may sleep , and they may have their throats about them at that time , and some say knives have edges .","Men may sleep , and when they do they may have their throats with them , and some people say knives have blades ."
There must be conclusions .,There must be some resolution .
"Well , I can not tell .","Well , it's not for me to say ."
Here comes Ancient Pistol and his wife .,Here comes Ensign Pistol and his wife .
"Now , by this hand , I swear , I scorn the term , Nor shall my Nell keep lodgers .","I swear , I scorn the word ."
"Oh , well-a-day , Lady !","Oh , dear ."
Pish !,Pish !
"Pish for thee , Iceland dog , Thou prick-eared cur of Iceland !","Pish to you , you mangy dog , you pointy-eared Icelandic mutt ."
"Good Corporal Nym , show thy valor and put up your sword .","Corporal Nym , be a man and put away your sword ."
Will you shog off ?,"Get lost , will you ?"
I am not Barbason ; you can not conjure me .,I am not some fiend of hell : you can't get rid of me with spells .
I have an humor to knock you indifferently well .,I'm in a mood to beat you up pretty good .
"If you grow foul with me , Pistol , I will scour you with my rapier , as I may , in fair terms .","If you get nasty with me , Pistol , I'll stab you with my sword , in fair play ."
"O braggart vile and damned furious wight , The grave doth gape , and doting death is near .","Your grave is gaping open , and your death is near ."
Therefore exhale .,So take your last breath .
"Hear me , hear me what I say : he that strikes the first stroke , I'll run him up to the hilts , as I am a soldier .","Listen , listen to what I say : whoever strikes first , I'll run him through with my sword , as sure as I'm a soldier ."
"An oath of mickle might , and fury shall abate .","That's an oath of great power , and our fury must subside ."
Thy spirits are most tall .,That's enough .
"By my troth , he'll yield the crow a pudding one of these days .","I swear , he'll be food for the crows soon ."
The king has killed his heart .,The king has broken his heart .
"Good husband , come home presently .","Good husband , come home soon ."
"Come , shall I make you two friends ?","Come on , can I get you two to make up ?"
Let floods o'erswell and fiends for food howl on !,Let rivers flood and fiends howl for food !
You'll pay me the eight shillings I won of you at betting ?,Are you going to pay the eight shillings I won from you in a bet ?
Base is the slave that pays .,Paying debts is for peasants .
"That now I will have , that's the humor of it .",I'm going to take it from you now .
As manhood shall compound .,"We'll see , won't we ?"
Push home .,Do your best .
"By this sword , he that makes the first thrust , I'll kill him .","By this sword , I'll kill whichever one of you makes the first thrust ."
"By this sword , I will .","By this sword , I will ."
"Sword"" is an oath , and oaths must have their course .","By this sword"" is an oath , and oaths must be kept ."
"Prithee , put up .","Come on , put it away ."
"In cash , most justly paid .",In cash .
"Well , then , that's the humor of 't .","Well , then , that's how it is ."
"As ever you come of women , come in quickly to Sir John .","If you ever had a mother , come in quickly to Sir John ."
"Ah , poor heart , he is so shaked of a burning quotidian tertian that it is most lamentable to behold .","The poor thing , he is so shaken with a fever that it's terrible to see ."
"Sweet men , come to him .","Sweet men , come to him ."
"Turning th ' accomplishment of many years Into an hour-glass ; for the which supply , Admit me chorus to this history ; Who , prologue-like , your humble patience pray Gently to hear , kindly to judge our play .","And , as the speaker of any prologue should , I ask you to hear our play courteously and to judge it kindly ."
"Nym , thou hast spoke the right .","Nym , what you say is true ."
He passes some humors and careers .,He has his moods and his ways .
They shall be apprehended by and by .,How smooth and cool they seem !
"How smooth and even they do bear themselves , As if allegiance in their bosoms sat Crowned with faith and constant loyalty .",Just as if they were perfectly loyal and faithful .
"The king hath note of all that they intend , By interception which they dream not of .","The king has been informed of all their plans , but they have no idea ."
"Now sits the wind fair , and we will aboard .","Now that the wind is favorable , let's board the ship ."
"My Lord of Cambridge , and my kind Lord of Masham , And you , my gentle knight , give me your thoughts .","My Lord of Cambridge and my good Lord of Masham and you , my noble knight , what do you think ?"
"Think you not that the powers we bear with us Will cut their passage through the force of France , Doing the execution and the act For which we have in head assembled them ?","Will our army cut a swath through the fighting force of France , achieving and accomplishing everything I've assembled them to do ?"
"No doubt , my liege , if each man do his best .","No doubt it will , my liege , if each man does his best ."
"I doubt not that , since we are well-persuaded We carry not a heart with us from hence That grows not in a fair consent with ours , Nor leave not one behind that doth not wish Success and conquest to attend on us .","I have no doubt about that , since I know there isn't a man among us who isn't with me wholeheartedly , or a soul left behind who doesn't wish us success and conquest ."
Never was monarch better feared and loved Than is your Majesty .,"There never was a monarch better feared and loved than yourself , your Majesty ."
"There's not , I think , a subject That sits in heart-grief and uneasiness Under the sweet shade of your government .",I don't think there's a single unhappy subject living under the protection of your government .
True .,True .
"Those that were your father's enemies Have steeped their galls in honey , and do serve you With hearts create of duty and of zeal .","Those who were bitter enemies of your father in his time have turned their bitterness to sweetness , serving you loyally and wholeheartedly ."
We therefore have great cause of thankfulness And shall forget the office of our hand Sooner than quittance of desert and merit According to the weight and worthiness .,"Yes , I have great cause to be thankful ."
